label	category	n	QUAL	DP	GQ	QQ
ZY_GeneMind_NA12878.grch38.deepvariant.30x.s42	concordant	56339	24.80	48.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.30x.s42	discordant	18	24.65	9.50	20.00	
ZY_GeneMind_NA12878.grch38.deepvariant.30x.s42	cpu_only	74	22.25	30.50	17.50	
ZY_GeneMind_NA12878.grch38.deepvariant.30x.s42	gpu_only	68	17.55	35.50	15.50	
ZY_GeneMind_NA12878.grch38.deepvariant.30x.s43	concordant	56357	24.80	49.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.30x.s43	discordant	19	18.60	20.00	8.00	
ZY_GeneMind_NA12878.grch38.deepvariant.30x.s43	cpu_only	67	18.40	33.00	14.00	
ZY_GeneMind_NA12878.grch38.deepvariant.30x.s43	gpu_only	78	17.40	24.00	14.50	
ZY_GeneMind_NA12878.grch38.deepvariant.30x.s44	concordant	56313	24.80	49.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.30x.s44	discordant	16	18.00	23.50	10.50	
ZY_GeneMind_NA12878.grch38.deepvariant.30x.s44	cpu_only	60	22.90	26.00	20.00	
ZY_GeneMind_NA12878.grch38.deepvariant.30x.s44	gpu_only	77	21.90	25.00	20.00	
ZY_GeneMind_NA12878.grch38.deepvariant.50x.s42	concordant	56750	24.80	80.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.50x.s42	discordant	13	22.30	34.00	19.00	
ZY_GeneMind_NA12878.grch38.deepvariant.50x.s42	cpu_only	52	19.35	38.00	15.00	
ZY_GeneMind_NA12878.grch38.deepvariant.50x.s42	gpu_only	66	17.55	35.00	15.50	
ZY_GeneMind_NA12878.grch38.deepvariant.50x.s43	concordant	56821	24.80	80.00	22.00	
ZY_GeneMind_NA12878.grch38.deepvariant.50x.s43	discordant	15	19.20	27.00	10.00	
ZY_GeneMind_NA12878.grch38.deepvariant.50x.s43	cpu_only	71	22.60	59.00	20.00	
ZY_GeneMind_NA12878.grch38.deepvariant.50x.s43	gpu_only	94	18.90	77.50	16.00	
ZY_GeneMind_NA12878.grch38.deepvariant.50x.s44	concordant	56716	24.80	80.00	22.00	
