run_id,sample,platform,reference,caller,hardware,target_depth_x,seed,call_sec,total_sec,run_date
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.40x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,40,42,1178,2576,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.40x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,40,43,1167,2591,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.50x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,50,44,1413,3061,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.50x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,50,43,1395,3085,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.50x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,50,42,1454,3128,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.60x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,60,42,1659,3612,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.60x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,60,44,1693,3607,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.60x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,60,43,1677,3712,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.75x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,75,43,2057,4408,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.75x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,75,44,2078,4391,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.75x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,75,42,2082,4471,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.100x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,100,42,2770,5723,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.100x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,100,44,2817,5780,2026-07-15
