pair,concordant_n,concordant_DP,concordant_GQ,concordant_QUAL,discordant_n,discordant_DP,discordant_GQ,discordant_QUAL,cpu_only_n,cpu_only_DP,cpu_only_GQ,cpu_only_QUAL,gpu_only_n,gpu_only_DP,gpu_only_GQ,gpu_only_QUAL
ZY_GeneMind_NA12878.grch38.deepvariant.full.s0,57544.0,520.0,22.0,24.8,24.0,230.0,18.0,22.5,152.0,319.5,17.0,19.4,144.0,230.5,19.0,21.25
ZY_GeneMind_NA12878.grch38.gatk4_hc.100x.s42,61186.0,149.0,99.0,2476.62,9.0,28.0,73.0,559.97,120.0,41.0,99.0,165.62,98.0,61.0,99.0,494.04
ZY_GeneMind_NA12878.grch38.gatk4_hc.100x.s43,61064.0,149.0,99.0,2473.64,11.0,123.0,61.0,4885.01,117.0,51.0,99.0,151.64,110.0,43.0,98.0,209.64
ZY_GeneMind_NA12878.grch38.gatk4_hc.100x.s44,61118.0,149.0,99.0,2479.64,19.0,29.0,35.0,727.06,145.0,82.0,99.0,171.6,144.0,57.0,99.0,278.52
ZY_GeneMind_NA12878.grch38.gatk4_hc.10x.s42,54811.0,17.0,96.0,286.64,15.0,10.0,13.0,302.03,162.0,14.0,42.5,50.12,124.0,9.0,47.0,78.32
ZY_GeneMind_NA12878.grch38.gatk4_hc.10x.s43,54793.0,17.0,96.0,287.64,24.0,8.0,14.5,153.31,121.0,13.0,40.0,58.71,113.0,7.0,48.0,66.84
ZY_GeneMind_NA12878.grch38.gatk4_hc.10x.s44,54890.0,17.0,96.0,287.64,16.0,8.0,4.0,192.31,131.0,14.0,41.0,47.64,119.0,9.0,57.0,64.64
ZY_GeneMind_NA12878.grch38.gatk4_hc.15x.s42,57310.0,24.0,99.0,413.64,14.0,12.0,13.0,267.31,172.0,14.0,45.5,58.14,122.0,9.0,49.0,101.81
ZY_GeneMind_NA12878.grch38.gatk4_hc.15x.s43,57179.0,25.0,99.0,414.64,19.0,14.0,32.0,274.03,160.0,16.0,55.0,68.58,124.0,11.0,44.0,81.12
ZY_GeneMind_NA12878.grch38.gatk4_hc.15x.s44,57226.0,24.0,99.0,414.64,14.0,6.5,11.0,180.51,115.0,15.0,46.0,52.64,88.0,8.0,50.0,58.1
ZY_GeneMind_NA12878.grch38.gatk4_hc.200x.s42,61714.0,278.0,99.0,4607.64,8.0,33.0,56.0,1191.49,127.0,191.0,99.0,161.64,90.0,80.5,99.0,1064.54
ZY_GeneMind_NA12878.grch38.gatk4_hc.200x.s43,61661.0,278.0,99.0,4598.64,12.0,155.5,67.5,4563.02,130.0,137.5,99.0,212.64,113.0,178.0,99.0,709.64
ZY_GeneMind_NA12878.grch38.gatk4_hc.200x.s44,61598.0,278.0,99.0,4618.12,14.0,73.5,95.0,1746.52,139.0,110.0,99.0,146.64,160.0,188.5,99.0,486.81
ZY_GeneMind_NA12878.grch38.gatk4_hc.30x.s42,59493.0,47.0,99.0,795.64,12.0,11.0,9.0,266.01,126.0,27.0,74.5,103.14,154.0,17.0,63.0,167.37
ZY_GeneMind_NA12878.grch38.gatk4_hc.30x.s43,59551.0,48.0,99.0,796.6,10.0,7.5,17.5,165.56,125.0,27.0,63.0,69.94,162.0,16.0,63.0,105.6
ZY_GeneMind_NA12878.grch38.gatk4_hc.30x.s44,59462.0,47.0,99.0,796.6,13.0,8.0,18.0,195.96,133.0,31.0,58.0,88.64,129.0,14.0,62.0,121.84
ZY_GeneMind_NA12878.grch38.gatk4_hc.50x.s42,60390.0,77.0,99.0,1293.64,15.0,14.0,15.0,493.86,150.0,28.0,99.0,138.31,125.0,26.0,74.0,186.02
ZY_GeneMind_NA12878.grch38.gatk4_hc.50x.s43,60299.0,78.0,99.0,1293.06,12.0,26.5,24.5,830.99,129.0,42.0,91.0,94.64,150.0,29.0,72.0,140.64
ZY_GeneMind_NA12878.grch38.gatk4_hc.50x.s44,60307.0,77.0,99.0,1301.64,10.0,8.0,23.5,206.0,117.0,38.0,63.0,106.64,127.0,16.0,67.0,108.02
ZY_GeneMind_NA12878.grch38.gatk4_hc.5x.s42,47200.0,9.0,51.0,164.96,21.0,13.0,2.0,329.06,102.0,9.0,39.0,40.6,132.0,5.0,24.0,59.96
ZY_GeneMind_NA12878.grch38.gatk4_hc.5x.s43,47048.0,9.0,51.0,164.64,22.0,5.0,21.5,123.12,151.0,7.0,39.0,59.8,115.0,4.0,34.0,54.32
