platform,caller,variant_type,target_depth_x,mean_on_target_depth,F1_mean,F1_std,precision_mean,recall_mean,n_seeds
bgi_dnbseq_t7,deepvariant,SNV,30,43.00333333333333,0.96772,0.0006141196951735158,0.9766206666666667,0.9589806666666667,3
bgi_dnbseq_t7,deepvariant,SNV,300,369.6166666666666,0.991253,3.0315012782414464e-05,0.9975756666666666,0.9850096666666667,3
bgi_dnbseq_t7,deepvariant,SNV,40,57.0,0.976128,0.000402838677388366,0.9846096666666666,0.9677916666666667,3
bgi_dnbseq_t7,deepvariant,SNV,400,468.3533333333333,0.991727,0.00015573374714553595,0.997796,0.9857306666666666,3
bgi_dnbseq_t7,deepvariant,SNV,5,7.273333333333333,0.7759983333333333,0.0008300327302783313,0.8415233333333333,0.719944,3
bgi_dnbseq_t7,deepvariant,SNV,50,70.82,0.980274,0.0008256221896242826,0.9882323333333334,0.9724423333333334,3
bgi_dnbseq_t7,deepvariant,SNV,60,84.47666666666667,0.9830173333333333,0.0004992087071890009,0.990563,0.9755856666666666,3
bgi_dnbseq_t7,deepvariant,SNV,75,104.66333333333334,0.9852820000000001,0.0008445377433839461,0.9925083333333333,0.9781599999999999,3
bgi_dnbseq_t7,deepvariant,SNV,8,11.616666666666665,0.8565093333333333,0.0008219515395285926,0.885596,0.8292736666666666,3
bgi_dnbseq_t7,deepvariant,SNV,full,741.72,0.992178,,0.998009,0.986416,1
bgi_dnbseq_t7,gatk4_hc,INDEL,10,14.51,0.7305776666666667,0.001222961296743822,0.7761950000000001,0.6900266666666667,3
bgi_dnbseq_t7,gatk4_hc,INDEL,100,137.52666666666667,0.8426279999999999,1.7349351572900423e-05,0.7959546666666667,0.8951183333333333,3
bgi_dnbseq_t7,gatk4_hc,INDEL,12,17.393333333333334,0.7507866666666666,0.0029510466504840877,0.7782506666666666,0.72521,3
bgi_dnbseq_t7,gatk4_hc,INDEL,15,21.69333333333333,0.7726609999999999,0.0001615023219647546,0.7798243333333333,0.7656369999999999,3
bgi_dnbseq_t7,gatk4_hc,INDEL,150,200.47,0.850253,0.0009247031956254946,0.8027793333333334,0.9036993333333333,3
bgi_dnbseq_t7,gatk4_hc,INDEL,20,28.84,0.7911126666666667,0.002050270307382208,0.7791226666666667,0.80349,3
bgi_dnbseq_t7,gatk4_hc,INDEL,200,259.96,0.854542,0.0017458327525854082,0.807872,0.9069413333333333,3
bgi_dnbseq_t7,gatk4_hc,INDEL,25,35.943333333333335,0.8031326666666666,0.0005527733109813545,0.7797253333333334,0.827994,3
bgi_dnbseq_t7,gatk4_hc,INDEL,30,43.00333333333333,0.8120310000000001,0.0026170000000000117,0.7836293333333334,0.8425816666666667,3
bgi_dnbseq_t7,gatk4_hc,INDEL,300,369.6166666666666,0.8563753333333333,0.00314108935456046,0.8086526666666667,0.9100876666666666,3
bgi_dnbseq_t7,gatk4_hc,INDEL,40,57.0,0.8217976666666668,0.0018776273148133783,0.784684,0.862605,3
bgi_dnbseq_t7,gatk4_hc,INDEL,400,468.3533333333333,0.8583500000000001,0.001581056292482961,0.8108186666666667,0.9118036666666667,3
bgi_dnbseq_t7,gatk4_hc,INDEL,5,7.273333333333333,0.6216590000000001,0.0025855668624113967,0.7720453333333334,0.520309,3
bgi_dnbseq_t7,gatk4_hc,INDEL,50,70.82,0.8293123333333333,0.001916303820727055,0.7881616666666668,0.875,3
bgi_dnbseq_t7,gatk4_hc,INDEL,60,84.47666666666667,0.8353193333333332,0.0013213517069021981,0.7909116666666667,0.8850113333333333,3
bgi_dnbseq_t7,gatk4_hc,INDEL,75,104.66333333333334,0.8382143333333333,0.002182764836928888,0.7929096666666666,0.8890160000000001,3
bgi_dnbseq_t7,gatk4_hc,INDEL,8,11.616666666666665,0.7013393333333333,0.003809491610875867,0.775318,0.6402553333333333,3
bgi_dnbseq_t7,gatk4_hc,INDEL,full,741.72,0.86127,,0.814598,0.913616,1
bgi_dnbseq_t7,gatk4_hc,SNV,10,14.51,0.9079126666666667,0.0008539814595957797,0.968918,0.854135,3
bgi_dnbseq_t7,gatk4_hc,SNV,100,137.52666666666667,0.9802563333333333,0.00037342513752195095,0.981056,0.9794573333333334,3
bgi_dnbseq_t7,gatk4_hc,SNV,12,17.393333333333334,0.924903,0.00012384264209063705,0.9732259999999999,0.8811523333333334,3
bgi_dnbseq_t7,gatk4_hc,SNV,15,21.69333333333333,0.9405443333333333,0.0006337257556177774,0.9767133333333334,0.9069576666666667,3
bgi_dnbseq_t7,gatk4_hc,SNV,150,200.47,0.9813550000000001,0.00013536986370680737,0.9805280000000001,0.9821833333333334,3
bgi_dnbseq_t7,gatk4_hc,SNV,20,28.84,0.9551593333333334,0.0003620501806840179,0.979189,0.9322806666666666,3
bgi_dnbseq_t7,gatk4_hc,SNV,200,259.96,0.9818886666666667,0.0001443687408455875,0.9802513333333334,0.9835316666666666,3
bgi_dnbseq_t7,gatk4_hc,SNV,25,35.943333333333335,0.963342,0.0002193649926492406,0.9808413333333333,0.946456,3
bgi_dnbseq_t7,gatk4_hc,SNV,30,43.00333333333333,0.9679196666666666,0.00031595305558472503,0.9812696666666666,0.9549280000000001,3
bgi_dnbseq_t7,gatk4_hc,SNV,300,369.6166666666666,0.9823316666666667,0.0001770150652722108,0.9800823333333334,0.9845913333333334,3
bgi_dnbseq_t7,gatk4_hc,SNV,40,57.0,0.9730103333333333,0.000423162301408521,0.9815266666666668,0.9646403333333334,3
bgi_dnbseq_t7,gatk4_hc,SNV,400,468.3533333333333,0.98263,0.0001558877801496596,0.9799766666666666,0.9852983333333333,3
bgi_dnbseq_t7,gatk4_hc,SNV,5,7.273333333333333,0.8012046666666667,0.002081457502168436,0.9408903333333333,0.697635,3
bgi_dnbseq_t7,gatk4_hc,SNV,50,70.82,0.9757223333333332,0.000421508402446884,0.9817513333333333,0.9697673333333333,3
bgi_dnbseq_t7,gatk4_hc,SNV,60,84.47666666666667,0.9775933333333334,0.0005747193517998821,0.9818806666666666,0.9733436666666666,3
bgi_dnbseq_t7,gatk4_hc,SNV,75,104.66333333333334,0.978971,0.0003324499962401179,0.9814896666666667,0.9764656666666666,3
bgi_dnbseq_t7,gatk4_hc,SNV,8,11.616666666666665,0.8813646666666667,0.0011277523368778128,0.9618803333333333,0.8132886666666667,3
bgi_dnbseq_t7,gatk4_hc,SNV,full,741.72,0.982914,,0.97965,0.986199,1
genemind_surfseq5000,deepvariant,INDEL,10,14.976666666666667,0.893894,0.00044065065528152783,0.9515133333333333,0.8428683333333332,3
genemind_surfseq5000,deepvariant,INDEL,100,140.74666666666667,0.9823780000000001,0.0032572422384587493,0.9875023333333334,0.9773073333333334,3
genemind_surfseq5000,deepvariant,INDEL,12,17.95,0.9147666666666666,0.003159815395451724,0.9593523333333334,0.874142,3
genemind_surfseq5000,deepvariant,INDEL,15,22.386666666666667,0.9336093333333334,0.0007101136059345629,0.9666593333333333,0.902746,3
genemind_surfseq5000,deepvariant,INDEL,150,204.24666666666667,0.984585,0.0014474007738010835,0.9895283333333333,0.979691,3
genemind_surfseq5000,deepvariant,INDEL,20,29.74,0.9514969999999999,0.0014985796608789131,0.9748323333333334,0.9292526666666667,3
