sample,reference,caller_pair,target_depth_x,seed,variant_type,CPU_F1,GPU_F1,abs_delta_F1
ZY_Illumina_NA12878,grch38,gatk4_hc,10,42,SNV,0.912186,0.912081,0.00010500000000002174
ZY_Illumina_NA12878,grch38,gatk4_hc,10,43,INDEL,0.747635,0.747531,0.00010400000000010401
ZY_Illumina_NA12878,grch38,gatk4_hc,10,43,SNV,0.914151,0.914138,1.3000000000040757e-05
ZY_Illumina_NA12878,grch38,gatk4_hc,10,44,INDEL,0.74802,0.747221,0.0007989999999999942
ZY_Illumina_NA12878,grch38,gatk4_hc,10,44,SNV,0.913689,0.913714,2.5000000000052758e-05
ZY_BGI_NA12878,grch38,deepvariant,100,42,INDEL,0.958942,0.958708,0.00023399999999995647
ZY_BGI_NA12878,grch38,deepvariant,100,42,SNV,0.987548,0.987591,4.300000000001525e-05
ZY_BGI_NA12878,grch38,deepvariant,100,43,INDEL,0.958346,0.958,0.0003460000000000685
ZY_BGI_NA12878,grch38,deepvariant,100,43,SNV,0.987575,0.987597,2.199999999996649e-05
ZY_BGI_NA12878,grch38,deepvariant,100,44,INDEL,0.962523,0.962996,0.0004729999999999457
ZY_BGI_NA12878,grch38,deepvariant,100,44,SNV,0.987844,0.987769,7.500000000004725e-05
ZY_BGI_NA12878,grch38,gatk4_hc,100,42,INDEL,0.842619,0.84235,0.0002689999999999637
ZY_BGI_NA12878,grch38,gatk4_hc,100,42,SNV,0.979899,0.979711,0.00018799999999996597
ZY_BGI_NA12878,grch38,gatk4_hc,100,43,INDEL,0.842617,0.842348,0.0002689999999999637
ZY_BGI_NA12878,grch38,gatk4_hc,100,43,SNV,0.980226,0.980092,0.0001340000000000785
ZY_BGI_NA12878,grch38,gatk4_hc,100,44,INDEL,0.842648,0.842988,0.00034000000000000696
ZY_BGI_NA12878,grch38,gatk4_hc,100,44,SNV,0.980644,0.980276,0.00036799999999992394
ZY_GeneMind_NA12878,grch38,deepvariant,100,42,INDEL,0.986061,0.985913,0.00014799999999992597
ZY_GeneMind_NA12878,grch38,deepvariant,100,42,SNV,0.992037,0.991971,6.599999999989947e-05
ZY_GeneMind_NA12878,grch38,deepvariant,100,43,INDEL,0.979876,0.980017,0.00014100000000005775
ZY_GeneMind_NA12878,grch38,deepvariant,100,43,SNV,0.992115,0.992093,2.199999999996649e-05
ZY_GeneMind_NA12878,grch38,deepvariant,100,44,INDEL,0.981197,0.981043,0.00015399999999998748
ZY_GeneMind_NA12878,grch38,deepvariant,100,44,SNV,0.991982,0.991895,8.700000000005925e-05
ZY_GeneMind_NA12878,grch38,gatk4_hc,100,42,INDEL,0.919287,0.919241,4.599999999999049e-05
ZY_GeneMind_NA12878,grch38,gatk4_hc,100,42,SNV,0.981173,0.981069,0.00010399999999999299
ZY_GeneMind_NA12878,grch38,gatk4_hc,100,43,INDEL,0.919489,0.919851,0.00036199999999997345
ZY_GeneMind_NA12878,grch38,gatk4_hc,100,43,SNV,0.981611,0.981455,0.000156000000000045
ZY_GeneMind_NA12878,grch38,gatk4_hc,100,44,INDEL,0.919044,0.91915,0.0001060000000000505
ZY_GeneMind_NA12878,grch38,gatk4_hc,100,44,SNV,0.981379,0.9812,0.00017900000000004024
ZY_Illumina_NA12878,grch38,deepvariant,100,42,INDEL,0.964227,0.963936,0.0002909999999999302
ZY_Illumina_NA12878,grch38,deepvariant,100,42,SNV,0.988704,0.988737,3.2999999999949736e-05
ZY_Illumina_NA12878,grch38,deepvariant,100,43,INDEL,0.964591,0.964594,2.9999999999752447e-06
ZY_Illumina_NA12878,grch38,deepvariant,100,43,SNV,0.988663,0.988597,6.60000000000105e-05
ZY_Illumina_NA12878,grch38,deepvariant,100,44,INDEL,0.963127,0.963719,0.0005920000000000369
ZY_Illumina_NA12878,grch38,deepvariant,100,44,SNV,0.988268,0.988278,9.99999999995449e-06
ZY_Illumina_NA12878,grch38,gatk4_hc,100,42,INDEL,0.859928,0.86044,0.0005119999999999569
ZY_Illumina_NA12878,grch38,gatk4_hc,100,42,SNV,0.979648,0.979132,0.0005159999999999609
ZY_Illumina_NA12878,grch38,gatk4_hc,100,43,INDEL,0.861877,0.861049,0.0008280000000000509
ZY_Illumina_NA12878,grch38,gatk4_hc,100,43,SNV,0.978697,0.97849,0.00020700000000006824
ZY_Illumina_NA12878,grch38,gatk4_hc,100,44,INDEL,0.866061,0.8644,0.0016610000000000236
ZY_Illumina_NA12878,grch38,gatk4_hc,100,44,SNV,0.979224,0.978684,0.0005399999999999849
ZY_BGI_NA12878,grch38,deepvariant,200,42,INDEL,0.964956,0.966894,0.0019379999999999953
ZY_BGI_NA12878,grch38,deepvariant,200,42,SNV,0.990405,0.990503,9.80000000000425e-05
ZY_BGI_NA12878,grch38,deepvariant,200,43,INDEL,0.967811,0.968593,0.0007820000000000604
ZY_BGI_NA12878,grch38,deepvariant,200,43,SNV,0.990747,0.990736,1.1000000000094268e-05
ZY_BGI_NA12878,grch38,deepvariant,200,44,INDEL,0.968382,0.969167,0.0007850000000000357
ZY_BGI_NA12878,grch38,deepvariant,200,44,SNV,0.990552,0.990628,7.599999999996498e-05
ZY_BGI_NA12878,grch38,gatk4_hc,200,42,INDEL,0.85389,0.853432,0.00045800000000006946
ZY_BGI_NA12878,grch38,gatk4_hc,200,42,SNV,0.981722,0.981642,7.999999999996898e-05
ZY_BGI_NA12878,grch38,gatk4_hc,200,43,INDEL,0.853216,0.852796,0.00041999999999997595
ZY_BGI_NA12878,grch38,gatk4_hc,200,43,SNV,0.981969,0.981953,1.6000000000016e-05
ZY_BGI_NA12878,grch38,gatk4_hc,200,44,INDEL,0.85652,0.856021,0.0004989999999999162
ZY_BGI_NA12878,grch38,gatk4_hc,200,44,SNV,0.981975,0.981895,8.000000000008001e-05
ZY_GeneMind_NA12878,grch38,deepvariant,200,42,INDEL,0.984471,0.984184,0.0002870000000000372
ZY_GeneMind_NA12878,grch38,deepvariant,200,42,SNV,0.992344,0.992355,1.0999999999983245e-05
ZY_GeneMind_NA12878,grch38,deepvariant,200,43,INDEL,0.985777,0.985339,0.00043800000000004946
ZY_GeneMind_NA12878,grch38,deepvariant,200,43,SNV,0.992498,0.992531,3.300000000006076e-05
ZY_GeneMind_NA12878,grch38,deepvariant,200,44,INDEL,0.98621,0.985634,0.0005760000000000209
ZY_GeneMind_NA12878,grch38,deepvariant,200,44,SNV,0.992476,0.992476,0.0
ZY_GeneMind_NA12878,grch38,gatk4_hc,200,42,INDEL,0.921348,0.920362,0.0009859999999999314
ZY_GeneMind_NA12878,grch38,gatk4_hc,200,42,SNV,0.982026,0.981956,6.999999999990347e-05
ZY_GeneMind_NA12878,grch38,gatk4_hc,200,43,INDEL,0.919271,0.919677,0.00040600000000001746
ZY_GeneMind_NA12878,grch38,gatk4_hc,200,43,SNV,0.981795,0.981651,0.00014399999999992197
ZY_GeneMind_NA12878,grch38,gatk4_hc,200,44,INDEL,0.922141,0.92199,0.00015100000000001224
ZY_GeneMind_NA12878,grch38,gatk4_hc,200,44,SNV,0.981751,0.981521,0.0002300000000000635
ZY_Illumina_NA12878,grch38,deepvariant,200,42,INDEL,0.975733,0.97617,0.0004370000000000207
ZY_Illumina_NA12878,grch38,deepvariant,200,42,SNV,0.990651,0.99064,1.0999999999983245e-05
ZY_Illumina_NA12878,grch38,deepvariant,200,43,INDEL,0.973197,0.973477,0.000280000000000058
